Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
tản-vân,nuage épars,散雲,Mây tan.
tản-văn,prose courante,散文,Là lối văn xuôi.
tao-khách,homme distingué; poète,騷客,Người thanh tao phong nhã có tiếng văn thơ.
tạo-thành,"créer, fonder",造成,"Làm thành ra, gây dựng ra."
tập-chí,,集誌,"Là quyển sách biên chép những bài văn, bài học thuyết cùng những truyện có ích mở trí được cho người ta, xuất-bản có kỳ cũng như lối báo."
tập-hợp,concentration (des troupes),集合,Về binh-pháp nghĩa là họp các quân-đội ở mọi nơi vào một chỗ để đặt thế công thế thủ.
tạp-trở,"variétés (rubrique d'une revue, etc.)",雜俎,"Nghĩa đen là cái bàn bày các đồ ăn vặt, tức là chỗ chép các bài vặt."
tả-thực,"peinture d'après nature, peinture réaliste",寫實,"Vẽ theo thực, chủ lấy như thực."
tế-bào,cellule (organique),細胞,"Cơ-quan nhỏ nhất trong da thịt các giống sinh-vật, hình như cái bao đựng các chất nước."
thái-ấp,"fief, domaine (d'un seigneur)",采邑,Phần đất riêng của mỗi nhà qui-tộc ngày xưa.
thái-đẩu,littéralement: la montagne thái-sơn et l'étoile polaire; au figuré: le plus grand génie d'une époque,泰斗,"Núi Thái-sơn, sao Bắc-đẩu, người ta thường mượn mà nói ví như người tài nhất trong một thời."
thái-độ,attitude,態度,"Cái vẻ, cái dáng, cái cách mình đối với ai, hoặc đối với một sự một vật gì."
tham-bác,"mélanger; concerter, confronter",參駁,"Xen lẫn vào, cái nọ tham-bác với cái kia."
tham-dục,"ambition, désir exagéré",貪慾,Lòng tham muốn vô cùng.
thám-hiểm (đội),exploration ; expédition (d'explorateurs),探險隊,"Bọn người đi thám xét những nơi hiểm trở, đất xa xôi."
thảm-kịch,"drame, évènement tragique",慘劇,Việc xẩy ra sầu thảm.
thâm-nhập,pénétrer profondément,深入,"Vào sâu, thấm-thía vào sâu lắm."
tham-quan,assister à...,參觀,Được tham dự vào đấy để xem.
thâm-tạ,profonde reconnaissance,深謝,Cảm tạ vô cùng.
thần bí,"mystère, mysticisme, mystique",神秘,"Sự bí-mật thuộc về thần-thánh, về tôn-giáo."
thân-bằng,parents et amis,親朋,Người thân người bạn.
thân-đái,aimer et admirer; avoir en estime,親戴,Thân thiết phục theo.
thắng-đoạt,"vaincre, triompher",勝奪,Đoạt cướp cho được.
thảng-lai,"accident; évènement imprévu, fortuit",倘來,"Sự bất kỳ đến, sự thoảng một lúc."
thanh-danh-văn-vật,"pays. lieu renommé par sa culture, ses moeurs",聲名文物,"Nói về một nước một nơi có danh tiếng, có những người hay thói đẹp."
thành-hiệu,œuvre ayant produit ses résultats; résultats acquis,成效,Việc làm đã nên công hiệu.
thần-học,théologie,神學,"Học về thần, về những nhẽ mầu-nhiệm trong tôn-giáo."
thánh-thượng,l'empereur,聖上,Đức vua thần-thánh.
thành-thuyết,"théorie, opinion toute faite ; lieu commun, idée rebattue",成說,"Nhời bàn đã thành lề, nhời dạy của người trước."
thanh-toàn,source limpide,清泉,Suối nước trong.
thanh-tú,"élégant, distingué (manières)",清秀,Vẻ người thanh nhã xinh đẹp.
thanh-vọng,"renom, réputation",聲望,Danh tiếng người ta trọng vọng.
thần-kinh-bộ,système nerveux,神經部,Bộ gân não trong người ta.
thân-lịch,avoir été mêlé soi-même à un évènement (qu'on raconte),身歷,Tự thân mình đã trải qua.
thần-nhuệ,d'une grande beauté et profondeur (se dit d'une œuvre littéraire),神銳,"Linh thiêng, sắc-sảo."
thần-phẩm,œuvre d'une grande beauté; beauté divine,神品,"Nói về cái gì tuyệt đẹp, tuyệt khéo, đáng là thần-thánh làm, thần-thánh dùng."
thần-phục,se dit d'un pays qui se soumet à un pays plus puissant,臣服,Chịu phục xin làm tôi.
thân-thế,la vie (d'un homme),身世,Thân đời người ta; công việc tình cảnh một đời người.
thân-thiện,sentiments cordiaux,親善,"Thân thiết, ở tử tế với nhau."
thân-thuộc,parenté,親屬,Người bà con họ hàng.
thảo-án,"projet (de loi, etc...)",草案,"Bản thảo một tờ chương-trình, nghị-định, điều ước, v.v., chưa có quan trên duyệt, chưa thi-hành được."
thảo-luận,,討論,Xem tranh-biện.
thao-túng,"employer, diriger à sa guise",操縱,"Khi bắt khi buông, nghĩa là có quyền sai khiến được, buông thả được."
thất-vọng,"désespoir, désespérance",失望,"Mất lòng mong-mỏi, khi buồn bực không biết mong cậy vào đâu."
thế-lộ,le chemin de la vie,世路,"Bước đường ở đời, ý nói ở trong cuộc đời."
thê-lương,froid et triste,淒涼,Lạnh lẽo buồn bã.
thể-trạch,choisir et recueillir,採擇,"Lựa chọn, (có người đọc là thái-trạch)."
thế-tử,héritier présomptif (d'un petit royaume),世子,Con cả vua nước nhỏ.
thiềm-cung,litt. palais du crapaud: la lune,蟾宮,Cung con thiềm-thừ; cung giăng.
thiên-chức,"mission, vocation",天職,"Chức trách chịu được tự giời, chức trách thiên-nhiên."
thiên-diễn,evolution,天演,Phép tiến-hoá tự-nhiên.
thiện-hậu chương-trình,protocole d'amitié,善後章程,Tờ chương-trình mấy nước ký để biểu tình thân-thiện với nhau về sau.
thiên-kiến,opinion partiale; préjugé,偏見,"Ý-kiến không thẳng, thiên về bề nào."
thiển-kiến,"vue, opinion superficielle",淺見,Ý-kiến nông nổi.
thiên-lại,"assistance, don du ciel",天賴,"Cái gì giời cho, sức giời giúp ; cái gì tự-nhiên mà được."
thiên-nhiên,"nature, naturel",天然,Tự-nhiên giời sinh ra vốn như thế.
thiên-sứ,messager céleste; ambassadeur envoyé par un suzerain à la cour d'un prince féudataire,天使,Sứ nhà giời.
thiên-tài,génie,天才,"Tài giỏi riêng của người ta tự giời phú cho, có tài hơn cả mọi người."
thiên-thú,beauté naturelle,天趣,"Thú vị thiên nhiên, tự giời cho sẵn có."
thiên-thượng,dans le ciel,天上,"Phần thuộc về trên giời, trên thượng từng không-khí."
thiệp-liệp,parcourir,涉獵,"Xem qua loa, xem lược cho biết đại khái."
thiết-giáp,cuirasse,鐵甲,"Vỏ sắt dày, bọc ngoài các tầu chiến nhơn."
thiết-hạm,cuirassé,鐵艦,Tầu chiến có vỏ sắt dày gọi là thiết-giáp.
thiết-huyết,fer et sang,鐵血,"Là sắt và máu. Chỉ cái chính-sách quả-quyết, dùng đến sự chém giết cũng không ngại."
thiều-quang,la lumière du printemps. par extension: le printemps,韶光,Bóng sáng mùa xuân.
thiếu-uý,sous-lieutenant,少尉,Chức quan-một.
thi-hào,grand poète,詩豪,"Nhà làm thơ hay, có tiếng."
thị-hiếu,désir et préférence; ce qu'on désire,嗜好,"Lòng ham muốn, bụng thích."
thi-lễ,litt. poésies et rites (noms de deux livres classiques): homme instruit et bien élevé,詩禮,"Kinh Thi kinh Lễ, dùng nói con nhà học hành."
thi-liệu,matière poétique,詩料,Những tài-liệu dùng để làm thơ.
thính-quan,l'ouie,聽官,Trong ngũ-quan phần thuộc về tai nghe.
thịnh-ý,bonne intention,盛意,"Ý tốt, ý hay."
thị-quan,la vue,視官,Trong ngũ-quan phần thuộc về mắt trông.
thị-sảnh,hôtel de ville,市廳,Sở công của thành-phố.
thị-thần,"chambellan, fonctionnaire du service privé du roi",侍臣,Người bầy tôi hầu cạnh vua.
thị-trường,"marché, débouché",市場,Nơi buôn bán.
thị-trưởng,"maire, bourgmestre",市長,"Quan đứng đầu một làng, một tỉnh (tức như chức lý-trưởng, đốc-lý)."
thi-vị,"saveur poétique; poétique (ne pas confondre avec 尸位 qui veut dire une sinécure, une place où l'on n'est que pour la forme)",詩味,"Phong-cảnh sơn thuỷ, cái gì có nhiều vẻ nên thơ, khác với nghĩa thi-vị 尸位 là ngồi làm vì không làm việc xứng với chức vị của mình."
thoái-khước,retraite,退卻,Quân đi trận phải tháo lui về.
thoán-nghịch,usurper le pouvoir impérial; s'insurger contre la dynastie,篡逆,"Tranh cướp ngôi vua, phản nghịch nhà vua."
thổ-công,travaux publics; travaux de construction,土工,"Các công trình thuộc về khai sông đào ngòi, cùng là làm nhà cửa lâu đài v. v."
thời-gian,temps (en philosophie),時間,"Chữ triết-học, chỉ cái quá-khứ, hiện tại, vị-lại lưu-truyền không cùng. Ngày, tháng, năm, là từng phần nhỏ trong thời-gian. Đối với thời-gian là không-gian."
thời-kỳ,période (de temps),時期,Chỉ một cái khoảng trong bao lâu.
thời-nghi,"conforme aux circonstances, aux nécessités du moment",時宜,"Sự vừa hợp với thời thế, lúc ấy nên làm như thế mới được."
thông-kim bác-cổ,"savant, érudit, versé dans les choses du passé et du présent",通今博古,"Học rộng rãi, biết rõ việc ngày nay lại hiểu hết sự đời xưa."
thống-mạ,réprimander avec énergie,痛罵,Mắng nhiếc cho tàn tệ.
thông-tín,correspondant,通信,Người ở nơi khác báo tin về cho biết.
thống-trách,reprocher amèrement,痛責,"Trách móc hết nhời, đau lòng mà trách móc."
thôn-tính,"annexer, annexion",吞併,Xâm lẫn mà gồm lấy cả nước khác. Cũng giống nghĩa như kiêm tính.
thổ-vũ,territoire d'un royaume,土宇,Cõi đất trong nước.
thuần-chất,"pur, sans mélange; sincère",純質,"Chất có một thứ, không lẫn với chất khác; tính thật-thà; cũng như chất-phác."
thuần-lý-học,métaphysique,純理學,"Học thuần về những nhẽ cùng cực, không vụ sự thực. Còn tên nữa gọi là siêu-hình học 超形學 là học những sự vật ở ngoài hình tượng, như linh-hồn, bản-thể, v. v.."
thuần-tuý,pur,純粹,"Tinh-hoa, trong sạch."
thực-dân,coloniser; colonie,殖民,"Nói về dân một nước sang sinh-cơ lập-nghiệp ở một đất khác, thường là đất ít người mà thổ-địa tốt, cách sinh-nhai tiện lợi."
thức-giả-xã-hội,"classe cultivée, intellectuelle",識者社會,Bọn người có học có biết trong xã-hội.
thực-nghiệp-chủ-nghĩa,pragmatisme,實業主義,Chủ-nghĩa của người Mỹ xướng ra trọng sự thực-nghiệp hơn là sự lý-tưởng.
thức-quảng,vastes connaissances; esprit cultivé,識廣,"Biết rộng, người giỏi, người hay chữ."
thực-thụ,titulariser; titulaire d'une fonction,實授,"Bổ làm chức ấy thực không phải quyền-nhiếp,không phải thi sai."
thực-tiễn,pratique,實踐,"Sự thực làm, thực có, thực dùng. Đối với lý-thuyết là sự suy-lý mà nói, chưa đem ra dùng."
thực-vật,les végétaux; le règne végétal,植物,Các loài cây cỏ.
thực-vụ,pratique; utilitaire,實務,Những việc thiết-thực.
thủ-đoạn,manière d'accomplir une chose,手段,Cái phép biện việc xử sự thế nào.
thủ-hiến,premier magistrat d'un pays; chef d'administration,首憲,"Quan đầu tòa, quan đầu một xứ, một tỉnh."
thu-hoạch,"acquérir, acquisition ; résultat obtenu",收獲,"Thu được, lấy được về mình ; sự kết-quả được."
thư-kiếm,litt. le livre et l'épée: carrière d un homme adonnés a la culture des lettres ou a la pratique de l'art militaire,書劍,"Quyển sách thanh gươm, ý nói cái học-nghiệp của người ta trong một đời, sách chỉ nghề học văn, gươm chỉ nghề học võ."
thụ-lập,vivre indépendant; avoir une vie indépendante et honorable,樹立,"Lập được thân, đứng vững với đời, không thua kém ai."
thuộc-quốc,royaume tributaire; colonie,屬國,"Nước phiên thuộc, theo về một nước nhơn."
thương-cảng,port de commerce,商港,Chỗ cửa bể có phố xá buôn bán.
thượng-cổ,haute antiquité,上古,"Đời xưa lắm,về lúc Hồng-hoang."
thưởng-giám,"goûter (une œuvre d'art, etc.)",賞鑑,Xem xét thưởng chơi cho biết giá trị.
thương-giới,monde du commerce,商界,Gồm những nhà buôn bán trong một xứ
thượng-hạng,catégorie supérieure; le rang le plus élevé,上項,Hạng trên hết.
thượng-hiến,,上憲,Quan đầu xứ. — Xem thủ-hiến.
thượng-lưu,"hautes classes sociales, élite",上流,Bọn cao-trọng trong xã-hội.
thượng-nhân,le révérend (terme de respect s'adressant à un religieux bouddhique),尙人,Người tu-hành về đạo Phật.
thượng-thẩm,cour d'appel (4e chambre),上審,"Chỉ Tòa-án cao nhất ở xứ Bắc-kỳ, để xét hạch lại án các tỉnh."
thương-thời,souffrir des malheurs du temps,傷時,Thương tâm về việc đời.
thượng-võ,"esprit militaire, guerrier",尚武,"Thích việc võ, việc quân, việc chiến đấu."
thương-xác,"discuter, négocier avec soin",商確,Bàn định cho kỹ lưỡng.
thủ-phủ,"capitale, chef-lieu",首府,Tỉnh to nhất trong một xứ ; nơi quan sở-tại ở.
thú-sử,"idylle, idyllique",趣史,Cuộc vui sướng êm ái.
thu-thanh,litt. la voix de l'automne: impression de tristesse qui se dégage d'un paysage d'automne,秋聲,"Tiếng mùa thu hiu hắt thường về mùa thu người ta nghe thấy, dùng ý nói cảnh buồn cảnh sầu."
thủ-tướng,"premier ministre, président du conseil des ministres",首相,Ông thượng-thư đứng đầu tòa Nội-các.
thú-y,art vétérinaire,獸醫,Nghề thuốc chữa các giống vật.
thuyền-lâm,pagode solitaire; lieu de prière et de dévotion,禪林,Chốn nhà chùa; nơi tu-hành tĩnh-mịch.
thuyết-lý,"théorie, théorique, théoricien",說理,"Bàn về lý, không về thực sự."
thuyết-minh,"expliquer, explication, démontrer",說明,"Giải rõ, giải nghĩa, bàn cho thấu nghĩa; diễn giảng ra cho rõ-ràng."
thuyết-pháp,"enseigner, prêcher une doctrine (religieuse)",說法,Giảng nói cái phép tắc để dạy người; giảng thuyết về nghĩa tôn-giáo.
Tịch Đàm,(không có),籍談,"Người nước Tấn ở về đời Xuân-thu, khi vào nhà Chu, Chu vương hỏi lịch sử nước Tấn, không đáp lại được, người ta chê là người vong-tổ."
tịch-dương,soleil couchant,夕陽,Mặt giời về chiều.
tịch-một,"saisir, confisquer",籍沒,"Sự thu lấy sản vật của người mắc nợ, của địch-quốc."
tiềm-lực,"force latente, cachée ; virtualité",潛力,"Sức ngầm, không phát rõ ra ngoài."
tiêm-nhiễm,s'imprégner; contracter une bonne ou mauvaise habitude,漸染,"Thấm thía, dầm dìa lấy những thói hay, hoặc là thói dở."
tiềm-tàng,"secret, caché",潛藏,Giấu kín không lộ ra.
tiến-cử,proposer (pour une fonction); promouvoir,薦舉,Tiến lên để quan trên cất đặt.
tiền-đề,données d'un problème; préliminaires d'une question; arguments à développer,前提,"Câu xướng ra trước, phần tiêu-đề lên để giải ra sau."
tiền-đồ,avenir,前途,"Con đường trước mặt, con đường mình sẽ đi đến, tức là sự thuộc về sau."
tiến-hoá,"evolution, evolutionnisme",進化,"Phép vạn-vật giống nọ nhân giống kia mà biến-hoá, càng hoá thì càng tiến."
tiến-thủ,progrès; progresser; amoureux du progrès,進取,"Sự tấn-tới, càng tiến lên càng muốn được thêm."
tiên-tiến,"progrès, progresser; évoluer, évolution",先進,"Tiến lên trước, những bậc người trước mình mà thành đạt."
tiếp-nhưỡng,"contigu, limitrophe",接壤,Chỗ bờ cõi hai nước tiếp giáp nhau.
tiết-độ,"modérer, modération; tempérance",節度,"Chừng mực, dè dặt có chừng có độ."
tiêu-chuẩn,"modèle, norme, étalon",標準,"Cái nêu, cái đích, cái lấy làm mẫu, làm thước để xét cái khác."
tiêu-cực,"pôle négatif, pôle positif",消極,"Tiếng về điện-học chỉ cái đầu điện tiêu đi, đối với tích-cực 積極 là cái đầu điện tích lại. (Hai tiếng này chữ tầu dùng rộng nghĩa mà chỉ phàm cái gì thuộc về có là tích-cực, phàm cái gì thuộc về không là tiêu-cực)."
tiểu-dạng,indisposition; maladie peu grave,小恙,Sự đau yếu thường.
tiêu-diệt,disparition progressive,消滅,Mòn mọi dần đi cho đến hết.
tiêu-sơ,solitude et tristesse,蕭疏,Vắng vẻ xờ xạc.
tiêu-tao,"triste, mélancolique",蕭騷,"Buồn bã, đìu hiu."
tiêu-thụ,se dit d'une chose qui se vend facilement,銷售,Bán chạy.
tiêu-trưởng,en raison directe de...,消長,"Chỉ cái nhẽ gì, một sự, một vật gì tuỳ theo một sự vật khác, mà cùng nhơn lên, cùng bé đi, cùng tăng, cùng giảm."
tiều-tử,le bûcheron,樵子,Người hái củi.
tỉ-hiệu,"comparer, comparaison",比校,"So sánh, ví cái nọ với cái kia."
tỉ-lệ,terme de comparaison,比例,"Lệ để so-sánh, cái gì làm cốt để so-sánh cái khác."
tỉ-lệ,rapport entre deux nombres,比例,Về số-học chỉ hai số so-sánh với nhau thành ra thế nào.
tình-dục,"désir, passion, concupiscence",情慾,Những điều ham-mê theo tình riêng mình.
tình-nghị,sentiments d'amitié,情誼,Tình-nghĩa ở với nhau.
tỉnh-ngộ,se réveiller de son erreur; revenir a la raison,醒悟,Trước mê dại mà sau tỉnh lại biết khôn.
tình-thế đặc-biệt,"situation spéciale, privilégiée",情勢特別,Tình-thế khác hẳn các nước.
tin-ngưỡng,"foi, croyance",信仰,Lòng tin đạo
tị-tổ,"ancêtre, promoteur, premier inventeur",鼻祖,"Ông tổ đầu, người xướng ra đầu, khởi ra chước nhất một sự gì, nghề gì."
Tô Thức,,蘇軾,"Người đất Mi-sơn 眉山, nhà Tống, tự là Tử-chiêm 子瞻. Làm quan đời vua Anh-tôn, sau bị biếm ra Hoàng-châu, làm nhà ở nơi gọi là Đông-ba 東坡, nên còn có tên hiệu nữa là Tô Đông-Ba. Là một bực văn-hào có danh-tiếng nhất ở nước Tầu."
toàn-bích,"ensemble (d'un morceau littéraire d'un livre, etc)",全璧,"Hòn ngọc bích toàn cả hai mặt, nghĩa bóng là bài văn nào hay suốt cả từ đầu tới đuôi. hay là chỉ cả một quyển sách hay nào."
toàn-bộ,"le tout, l'ensemble, toutes les parties réunies; le pays tout entier",全部,"Tất cả bộ phận trong một nước, hay là toàn bộ cơ thể gì."
toàn-thiên,"le morceau, l'article tout entier",全篇,Cả một bài.
toàn-trí toàn-năng,omniscient et omnipotent,全智全能,"Người có trí tuệ thông minh, tài năng trọn vẹn, điều gì cũng biết cũng làm được."
tốc-độ,vitesse,速度,Sức chạy nhanh.
tổ-chức,"organiser, organisation",組織,"Dệt dựng, sếp đặt, dựng đặt."
tổ-chức,tisser (au sens propre); organiser (au sens figuré),組織,"Thêu giệt gây thành nên một tấm hàng tơ. Phàm gây họp nên một hội, hay là mới gây làm nên một sự gì, cũng như là thêu giệt nên vậy."
tộc-trưởng chế-độ,régime patriarcal,族長制度,"Phép cai-trị lấy người trưởng-tộc làm chủ, coi quan lại như bực tôn-trưởng."
tối-hậu-thư,ultimatum,最後書,"Tờ thư đưa sau cùng, đến tờ thư ấy thì việc gì cũng phải quyết định cho xong, không thời tuyệt giao."
tôn-châu,"respecter, servir la dynastie nationale, légitime",尊周,"Ngày xưa khi nhà Châu đã suy rồi thiên hạ không ai biết tôn trọng vua Châu nữa, đức thánh Khổng-tử 孔 子 làm sách Xuân-thu chủ bầy tỏ nghĩa tôn nhà Châu, cho nên dùng điển Tôn-châu để mà nói cái chủ-nghĩa tôn-quân."
tôn-chỉ,"principe, dogme, doctrine",宗旨,"Là cái nghĩa sâu, nghĩa cốt yếu, nghĩa chính-truyền của một môn, một giáo."
tổng-hợp,"synthèse, méthode synthétique",綜合,Phép bắt đầu từ nhỏ mà suy đến nhơn ; họp các nhẽ để xét lấy cái nghĩa nhơn.
tôn-giáo,"religion, doctrine religieuse",宗教,"Đạo thờ một đấng thiêng liêng, đáng kính, đáng trọng. Nhời dạy trong đạo."
tổng-kế,statistique,總計,Phép gồm tính các sự vật theo từng hạng để lấy số trung-bình mà so-sánh hơn kém.
tổng-thống,président de la république,總統,Ông quốc-trưởng gồm giữ các quyền trong nước. Tức ta gọi là ông giám-quốc.
tổng-trùng,cérémonie pour chasser les vers qui dévorent les céréales,送蟲,Lễ cúng tiễn đưa thần Hoàng-trùng 蝗蟲 để cho sâu bọ khỏi cắn lúa.
tổ-quốc,"pays des ancêtres, patrie",祖國,"Nước mình sinh ra ở đấy, nước của ông cha nhà mình."
tô-tạo,"former, acquérir par la formation",塑造,"Gây nặn lên, đặt thành ra."
tổ-thuật,"suivre les traces, l'exemple de... , s'inspirer",祖述,Theo đòi người trước.
tốt-nghiệp,"fin, achèvement des études",卒業,Nói về sự học đến ngày thành công.
trắc-định,conjecturer,測定,Đo lường mà định.
trắc-giáng,monter et descendre; la hausse et la baisse; fluctuations de la fortune,陟降,"Lên xuống, khi lên cao khi xuống thấp."
trác-kiến,"perspicacité, pénétration d'esprit",卓見,Ý-kiến cao sâu.
trắc-lậu,"condition ordinaire, peu élevée; vivre inconnu, effacé",側陋,"Ở chỗ hèn, lúc chưa làm nền, khi chưa hiển-đạt."
trầm-kha,"plaie profonde, maladie douloureuse",沉疴,"Bệnh đau lâu, trầm trệ khó chữa."
trầm-luân,noyé dans l'océan de la souffrance (terme bouddhique),沉淪,Đắm đuối nơi cảnh khổ sở.
trầm-nghị,sérieux et énergique,沉毅,"Người thâm-trầm vững-vàng, làm cái gì bền chí cho đến được mới thôi; không khuếnh-khoáng, không sốc-nổi."
trấn-áp,"contrainte, menace",鎮壓,"Đè ép, làm cho sợ mà phải chịu."
trận-địa,position (entre les deux adversaires),陣地,Phần đất đứng để bầy thế đánh nhau.
trạng-thái,aspects,狀態,Hình trạng phát lộ ra ngoài.
tranh-biện,"discuter, discussion",爭辯,"Bàn bạc, cãi nhau lấy nhẽ phải. (Bàn-bạc ở nơi nghị-viện thì thường dùng chữ thảo-luận 討論)."
tranh-đoạt,se disputer pour s'emparer de...,爭奪,Tranh cướp.
trần-hiêu,"monde vulgaire, lieu où l'on peine et souffre",塵囂,"Chỗ bụi bặm rơ ráy, nơi phiền nhiễu."
tranh-vanh-đầu-giốc,"tête haute, front large (mine imposante, physionomie noble)",崢嶸頭角,"Tướng người cao trán nở đầu, là tướng qui cách."
trần-thiết,exposer avec ordre,陳設,Bầy-đặt tử-tế.
trần-tục,litt. poussières et vulgarités. au figuré: le monde des hommes (par opposition au monde des immortels),塵俗,Cõi đời ta ở (Khi chơi chốn cảnh tiên coi lại thì như mình ở nơi gió bụi tục tằn).
trận-vong,mort sur le champ de batail,陣亡,Chết tại chốn trận trường.
trào-phúng,"moquerie, satire; ironie",嘲諷,"Nói móc, nhạo báng lấy ý-tứ mà chê bai người ta, ngăn gián người ta."
trật-tự,ordre,秩序,Cũng như là thứ-tự.
tri-âm,"ami intime, ami de cœur; celui avec qui on est en parfaite union de cœur et d'esprit",知音,"Biết tiếng đàn. Ngày xưa ông Bá-nha 伯 牙 hay đàn lắm, mà ít người biết nghe, chỉ có ông Chung Tử-Kỳ 鍾 子 期 nghe biết chỗ hay của tiếng đàn ông, nên ông Bá-Nha lấy ông Tử-Kỳ làm tri-âm; dùng nghĩa bóng nói những người cùng một lòng một ý với nhau, người tri-kỷ người biết tâm chí cho mình."
trích-lục,extraire,摘錄,Lựa lấy chỗ cần chỗ hay mà chép.
triền-miên,charme enveloppant,纏綿,"Quấn-quít miên-man. Nói về cái cảm, cái thú gì nó bao-bọc lấy người ta, khó dứt ra được."
chiết-trung-chủ-nghĩa,"eclectisme, doctrine éclectique",折衷主義,"Chủ-nghĩa của những nhà triết-học vụ lấy nhẽ trung bình làm phải, kén chọn trong các môn học người trước, điều gì hay thì theo, điều gì dở thì bỏ, không thiên trọng một môn nào."
triệu-chứng,"présage, augure",兆徵,Điềm chứng hay dở phát-hiện ra trước.
triều-miếu,cour; palais et temples impériaux,朝廟,"Nơi triều-đình, cung điện, nơi vua ở cùng nơi thờ vua."
triều-nghi,protocole de la cour,朝儀,Lễ nghĩa nghi tiết trong chốn Triều-đình.
triều-phục,costume de la cour,朝服,Đồ mặc của các quan khi vào chầu vua.
trì-hoãn,lenteur,遲緩,Chậm chạp.
trì-hồi quan-vọng,"litt. hésiter, espérer encore: agir avec lenteur, avec hésitation, sans décision",遲回觀望,"Dùng dằng trông ngóng, làm việc gì chừng dỗi không làm."
tri-ngộ,avoir l'occasion d'être apprécié par le roi (se dit d'un mandarin),知遇,"Gặp mà biết, người dưới được gặp người trên biết cho."
trình-độ,"etape, niveau, degré",程度,"Độ-đường, bực, độ, như cái đường dài đã đi đến bực nào, độ nào."
trinh-sát-hạm,croiseur de reconnaissance,偵察艦,Tầu chiến đi dò thám ngoài bể.
trí-thức viên-thông,intelligence parfaite; savoir consommé,智識圓通,Tri khôn trọn vẹn thông thạo nhiều việc.
trí-thức-hồn,psychisme intellectuel,智識魂,Phần hồn thuộc về trí biết.
tri-trọng,train des équipages,輜重,"Đội binh coi riêng về việc chở đồ-dùng, lương-thực, đạn-dược cho quân."
truất-bãi,supprimer un emploi public; licencier le titulaire d'un emploi supprimé,黜罷,Truất đi không cho làm chức cũ nữa.
trực-tiếp,"direct, immédiat",直接,"Thẳng tiếp, không có xa cách."
trung-bộ,"le centre, la partie centrale, la moyenne région",中部,"Quãng giữa, phần giữa."
trung-cáo,avertissement loyal,忠告,Lấy nhời thực mà bảo.
trung-cổ,moyen âge,中古,"Trong lịch-sử Âu-châu khoảng từ sau khi La-mã-đế-quốc phân-liệt, đến đời các dân Âu-châu thành quốc. Thường cho là cái thời-đại tư-tưởng hắc-ám."
trung-diệp,"le milieu d'un siècle, d'un règne",中葉,"Về quãng giữa, nghĩa là lúc giữa chừng của một nhà vua nào hay một thời-đại nào."
trưng-điệu,conscription; recrutement (des troupes),徵調,Đòi ra sung binh ; khi trong nước có việc thì đòi cả dân-dinh ra tuyền làm lính.
trung-hạ,"domaine de l'empire (par opposition aux terres étrangères,aux régions sauvages)",中夏,"Đất trong một nước nhơn, đối với những đất rợ-mọi ở ngoài."
trùng-lai,retour,重來,Lại đến một lần nữa.
trung-lưu,"classe moyenne, bourgeoisie",中流,"Bực giữa trong xã-hội, hạng người trung-bình."
trung-quĩ,affaires du ménage,中饋,"Việc thổi nấu cơm nước trong nhà, nói về chức phận người đàn bà."
trung-ương,gouvernement central,中央,"Ở giữa. Trung-ương chính-phủ là chính phủ ở giữa, gồm cả các quyền trong nước."
trước-danh,"renommé, célèbre",著名,Người có danh dự rõ rệt ra ai cũng biết.
trước-minh,"lumineux, éclatant",著明,"Rõ ràng, phân-minh."
trước-tác,"écrire, composer des livres",著作,"Biên chép soạn thành ra bài văn, hay là bộ sách."
trường-qui,règlement d'une école ou un concours,場規,"Phép-luật trong trường thi, hay trường học."
trưởng-thành,arriver a l'âge d'homme; âge mur,長成,Khôn lớn lên.
trường-thiên,"ode, poème (de longueur illimitée)",長篇,"Bài thơ dài, không hạn câu, muốn viết bao nhiêu cũng được."
trừu-tượng,"abstrait, abstraction",抽象,"Tiếng về tâm-lý học, chỉ phàm cái gì thuộc về vô-hình, phải suy-nghĩ trong bụng mà tưởng-tượng ra. Đối với cụ-thể 具體 là cái gì có hình-thể."
truyền-kỳ,"conte merveilleux, récit fabuleux",傳奇,Sách truyền chép những truyện kỳ lạ.
truyện-ký,"biographie, notice biographique",傳記,Truyện kể đời một người.
truyền-tụng,récité de bouche en bouche. (se dit d'un beau morceau littéraire),傳誦,"Hết người nọ đến người kia truyền miệng nhau ngâm đọc (Văn hay, hay là thơ hay)."
tuần-dương-hạm,croiseur,巡洋艦,Tầu chiến đi tuần ngoài bể.
tuần-lương,fonctionnaire vertueux et intègre,循良,"Những ông quan có nết thanh liêm, có chính trị hay cho dân được nhờ."
tư-bản,capital; capitaliste,資本,"Tiền vốn. Người có tiền vốn cho vay, người buôn-bán tiền-bạc."
từ-bi,"compassion, miséricorde",慈悲,"Hiền-từ, thương người, thương muôn vật chúng-sinh."
tự-cao tự-đại,avoir une grande opinion de soi-même,自高自大,Tự đắc rằng mình giỏi hơn người.
tự-châm,"se faire des remontrances, s'éduquer",自箴,Mình tự răn mình.
từ-điện,électro-aimant,磁電,"(Hay là từ-thiết 磁鐵) tức ta gọi là đá nam-trâm, có tính hút các chất sắt."
tự-do-khinh-khi-cầu,dirigeable (ballon),自由輕氣球,Lối «ba-lông» tự khiến được.
